realtime_start,realtime_end,date,value,series_id,description,yoy_change,mom_change
2025-04-26,2025-04-26,2020-04-01,104.256,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,
2025-04-26,2025-04-26,2020-05-01,104.37,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.10934622467773103
2025-04-26,2025-04-26,2020-06-01,104.531,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.15425888665325793
2025-04-26,2025-04-26,2020-07-01,104.9,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.3530053285628165
2025-04-26,2025-04-26,2020-08-01,105.235,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.31935176358435235
2025-04-26,2025-04-26,2020-09-01,105.395,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.15204067087946083
2025-04-26,2025-04-26,2020-10-01,105.47,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.07116087100906832
2025-04-26,2025-04-26,2020-11-01,105.578,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.10239878638476085
2025-04-26,2025-04-26,2020-12-01,105.904,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.3087764496391143
2025-04-26,2025-04-26,2021-01-01,106.244,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.32104547514730797
2025-04-26,2025-04-26,2021-02-01,106.477,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.21930650201422708
2025-04-26,2025-04-26,2021-03-01,106.898,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),,0.39539055382851185
2025-04-26,2025-04-26,2021-04-01,107.549,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),3.1585712093308738,0.6089917491440611
2025-04-26,2025-04-26,2021-05-01,108.103,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),3.576698284947777,0.5151140410417421
2025-04-26,2025-04-26,2021-06-01,108.595,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),3.887841884225729,0.4551215044910961
2025-04-26,2025-04-26,2021-07-01,109.062,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),3.9675881792182954,0.4300382153874516
2025-04-26,2025-04-26,2021-08-01,109.436,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),3.9920178647788296,0.34292420824852954
2025-04-26,2025-04-26,2021-09-01,109.657,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),4.0438350965415815,0.2019445155159172
2025-04-26,2025-04-26,2021-10-01,110.184,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),4.469517398312317,0.4805894744521533
2025-04-26,2025-04-26,2021-11-01,110.792,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),4.938528860179203,0.551804254701227
2025-04-26,2025-04-26,2021-12-01,111.458,PCEPILFE,Personal Consumption Expenditures Excluding Food and Energy (Core PCE),5.24437226167096,0.6011264351216683
